epoch,train_loss,val_loss,val_acc,val_auc,val_f1
1,0.6703518128395081,0.619479605129787,0.67,0.6841361374943464,0.8023952095808383
2,0.5957255363464355,0.5681952919278827,0.67,0.7594131614654004,0.8023952095808383
3,0.5526116240024567,0.5379507158483777,0.71,0.7741689280868387,0.8181818181818182
4,0.5239879250526428,0.5176676980086735,0.7525,0.7822252374491181,0.8296041308089501
5,0.5092691123485565,0.5069149093968528,0.7475,0.7884441429217548,0.8249566724436742
6,0.49993539333343506,0.503651248557227,0.75,0.7907055630936227,0.8245614035087719
7,0.4983506655693054,0.5018218968595777,0.7475,0.7918928086838534,0.8218694885361552
8,0.5007599818706513,0.5018868403775352,0.7525,0.7920058796924467,0.8260105448154658
9,0.49566007137298584,0.5000832719462258,0.755,0.7946347806422434,0.8286713286713286
10,0.49576653957366945,0.4996920313153948,0.755,0.7947195838986884,0.8280701754385965
11,0.4976462817192078,0.4984416961669922,0.75,0.7962036408864767,0.823943661971831
12,0.49401178598403933,0.49856228062084745,0.755,0.7964439167797377,0.8280701754385965
13,0.4944489276409149,0.49841579369136263,0.7525,0.7968679330619629,0.8260105448154658
14,0.49502349615097047,0.4982787455831255,0.755,0.7960764360018091,0.8280701754385965
15,0.4929724359512329,0.4977874074663435,0.75,0.7965004522840344,0.823943661971831
16,0.49160114765167234,0.4976856878825596,0.75,0.7958502939846224,0.823943661971831
17,0.4907591962814331,0.497600440468107,0.7525,0.7963308457711444,0.8260105448154658
18,0.48531845331192014,0.4971544998032706,0.7575,0.7971506105834464,0.830122591943958
19,0.484376528263092,0.49659321563584463,0.7575,0.7974332881049299,0.830122591943958
20,0.4900763094425201,0.4959100101675306,0.76,0.7981399819086386,0.8321678321678322
21,0.4843312656879425,0.4962073394230434,0.7575,0.7987618724559024,0.8295254833040422
22,0.48578874588012694,0.4954144997256143,0.76,0.7991858887381276,0.8321678321678322
23,0.48451613903045654,0.49767222574778963,0.7575,0.796472184531886,0.8295254833040422
24,0.4865189492702484,0.4969808076109205,0.76,0.7982247851650837,0.8327526132404182
25,0.48432573676109314,0.49873121295656475,0.755,0.7956806874717324,0.8280701754385965
26,0.48782317638397216,0.4972650536469051,0.76,0.7966700587969245,0.8315789473684211
27,0.49436305165290834,0.49619979517800467,0.7575,0.797687697874265,0.830122591943958
28,0.48275069952011107,0.4971032866409847,0.7575,0.7965287200361827,0.8295254833040422
29,0.48456565141677854,0.4952424679483686,0.7575,0.7987901402080506,0.8307155322862129
30,0.4820126736164093,0.49728927442005705,0.755,0.7969527363184081,0.8280701754385965
31,0.4773971152305603,0.4980203722204481,0.755,0.7965004522840343,0.8274647887323944
32,0.48360743761062625,0.4963985936982291,0.7575,0.7979421076436002,0.8295254833040422
33,0.48326280832290647,0.49654421636036467,0.7575,0.7978290366350068,0.8295254833040422
34,0.4779935383796692,0.4969250517232077,0.7575,0.7983943916779739,0.8295254833040422
35,0.4798707568645477,0.49724146723747253,0.7575,0.7978573043871553,0.8295254833040422
36,0.47694543838500975,0.4963738279683249,0.755,0.7998077792853913,0.8274647887323944
37,0.4786453688144684,0.49603708727019175,0.755,0.799864314789688,0.8280701754385965
38,0.4729495930671692,0.49595181005341665,0.755,0.800429669832655,0.8280701754385965
39,0.48226607918739317,0.495331415108272,0.755,0.8006840796019901,0.8280701754385965
40,0.47486794471740723,0.4949227571487427,0.755,0.8010798281320669,0.8280701754385965
41,0.4732369828224182,0.4954179951122829,0.7575,0.801079828132067,0.830122591943958
42,0.4785774600505829,0.49653677003724234,0.755,0.7987901402080508,0.8274647887323944
43,0.4762392652034759,0.49574639541762217,0.7575,0.8002317955676165,0.830122591943958
44,0.477877357006073,0.496286792414529,0.7575,0.8004014020805066,0.830122591943958
45,0.4730402743816376,0.495220558983939,0.755,0.7999208502939846,0.8280701754385965
46,0.472696795463562,0.49712468470845905,0.755,0.7996947082767979,0.8274647887323944
47,0.47723899245262147,0.4970558966909136,0.755,0.7994120307553144,0.8280701754385965
48,0.4746513092517853,0.49685031175613403,0.7525,0.799949118046133,0.8260105448154658
49,0.4767482423782349,0.49884462356567383,0.7575,0.7987618724559024,0.830122591943958
50,0.47450109362602233,0.4978614023753575,0.7575,0.7998643147896879,0.830122591943958
