epoch,train_loss,val_loss,val_acc,val_auc,val_f1
1,0.6618557405471802,0.6252939615930829,0.67,0.6800938489371324,0.8023952095808383
2,0.5951232171058655,0.5685668672834124,0.6775,0.7586499321573947,0.8048411497730711
3,0.5516730260848999,0.5284837739808219,0.7375,0.7803312980551785,0.8287112561174551
4,0.5167629420757294,0.5056246987410954,0.76,0.7908186341022161,0.8339100346020761
5,0.5002144157886506,0.5015196629932949,0.7575,0.7925146992311173,0.830122591943958
6,0.4961587631702423,0.5033402698380607,0.755,0.7908469018543647,0.8286713286713286
7,0.5000291538238525,0.5031747094222477,0.7575,0.791044776119403,0.8283185840707965
8,0.4995886254310608,0.500418803521565,0.76,0.7951436001809137,0.8309859154929577
9,0.4970166552066803,0.49840156521115986,0.7625,0.7960481682496607,0.8336252189141856
10,0.49257731437683105,0.498136648109981,0.76,0.7962460425146993,0.8309859154929577
11,0.4942288029193878,0.49757942983082365,0.765,0.7962743102668477,0.8350877192982457
12,0.4924770426750183,0.49887130090168547,0.76,0.7964156490275893,0.8321678321678322
13,0.48890725016593933,0.4988209775515965,0.7575,0.7961895070104026,0.827708703374778
14,0.491308286190033,0.49955290130206514,0.7575,0.7957937584803256,0.830122591943958
15,0.4861206603050232,0.4988892078399658,0.76,0.796952736318408,0.8315789473684211
16,0.4923099088668823,0.4964399295193808,0.7625,0.7976594301221167,0.8336252189141856
17,0.4924969208240509,0.4969740765435355,0.76,0.7975746268656716,0.8315789473684211
18,0.48387316942214964,0.4964552990027836,0.755,0.7992424242424243,0.8268551236749117
19,0.4809041106700897,0.4963114559650421,0.7575,0.7987618724559022,0.8289241622574955
20,0.4855844008922577,0.49553774510111126,0.76,0.7994120307553143,0.8315789473684211
21,0.4827403402328491,0.4987136125564575,0.7525,0.798818407960199,0.8241563055062167
22,0.48652387261390684,0.49618078555379597,0.7575,0.799864314789688,0.8289241622574955
23,0.48139562249183654,0.4951571822166443,0.7575,0.8004014020805066,0.830122591943958
24,0.48042160630226133,0.49773178356034414,0.7625,0.7984226594301223,0.8330404217926186
25,0.4773266589641571,0.4987073114940098,0.7575,0.7972919493441881,0.8289241622574955
26,0.476128431558609,0.49919443896838595,0.76,0.796867933061963,0.8309859154929577
27,0.4820034921169281,0.49796254294259207,0.76,0.7966417910447763,0.8309859154929577
28,0.4815417766571045,0.4979858994483948,0.7575,0.7975746268656716,0.8295254833040422
29,0.48669652700424193,0.4975124682698931,0.7575,0.7983378561736771,0.8295254833040422
30,0.47226066946983336,0.49861237832478117,0.755,0.7975463591135233,0.8274647887323944
31,0.4846850919723511,0.4978933462074825,0.755,0.7980269109000453,0.8274647887323944
32,0.4755810558795929,0.498416896377291,0.755,0.798648801447309,0.8280701754385965
33,0.47960748195648195,0.49897734607969013,0.755,0.7963873812754411,0.8274647887323944
34,0.4798131966590881,0.500228043113436,0.7575,0.7962177747625508,0.8295254833040422
35,0.4754166150093079,0.4990886790411813,0.755,0.7965852555404795,0.8280701754385965
36,0.46869155764579773,0.5003804053579058,0.755,0.7969244685662596,0.8274647887323944
37,0.46934198021888734,0.5018228377614703,0.755,0.7960481682496607,0.8268551236749117
38,0.47709733605384824,0.5005783821855273,0.7575,0.7962460425146993,0.8295254833040422
39,0.4741397273540497,0.4987345210143498,0.755,0.7959350972410675,0.8280701754385965
40,0.47219777226448056,0.49932838337762014,0.7525,0.7946065128900949,0.8253968253968254
41,0.4782932019233704,0.5020788184234074,0.7525,0.7942390321121665,0.8260105448154658
42,0.47465009689331056,0.49938951645578655,0.755,0.7964439167797377,0.8280701754385965
43,0.4734541356563568,0.4986021901879992,0.75,0.7961612392582542,0.823943661971831
44,0.4770831274986267,0.49890399830681936,0.755,0.796867933061963,0.8280701754385965
45,0.4710190510749817,0.5000862692083631,0.75,0.7961612392582541,0.823943661971831
46,0.47345847487449644,0.5032155386039189,0.745,0.7954828132066938,0.8197879858657244
47,0.4718671667575836,0.5011438855103084,0.7575,0.7956806874717323,0.830122591943958
48,0.46785652279853823,0.49953425356319975,0.755,0.7973767526006332,0.8280701754385965
49,0.4755436623096466,0.49866109660693575,0.7525,0.7975746268656717,0.8260105448154658
50,0.4678633892536163,0.4989324424948011,0.7525,0.7974050203527816,0.8260105448154658
